år,Value,Utdanningsnivå - scenario
2023,11.9,UH_lang - historisk
2022,11.4,UH_lang - historisk
2021,10.8,UH_lang - historisk
2020,10.4,UH_lang - historisk
2019,10.1,UH_lang - historisk
2019,9.8028,Studiekompetanse - historisk
2018,9.8,UH_lang - historisk
2018,9.711,Studiekompetanse - historisk
2017,9.6968,Studiekompetanse - historisk
2020,9.6224,Studiekompetanse - historisk
2017,9.6,UH_lang - historisk
2016,9.5,UH_lang - historisk
2021,9.457,Studiekompetanse - historisk
2015,9.3,UH_lang - historisk
2022,9.2444,Studiekompetanse - historisk
2023,9.048,Studiekompetanse - historisk
2014,8.9,UH_lang - historisk
2024,8.87543127986559,Studiekompetanse - scenario3
2024,8.7753467567991,Studiekompetanse - scenario1
2025,8.7753467567991,Studiekompetanse - scenario3
2026,8.67526223373261,Studiekompetanse - scenario3
2024,8.57517771066612,Studiekompetanse - scenario2
2025,8.57517771066612,Studiekompetanse - scenario1
2027,8.57517771066612,Studiekompetanse - scenario3
2028,8.47509318759963,Studiekompetanse - scenario3
2026,8.37500866453314,Studiekompetanse - scenario1
2029,8.37500866453314,Studiekompetanse - scenario3
2030,8.27492414146665,Studiekompetanse - scenario3
2025,8.17483961840016,Studiekompetanse - scenario2
2027,8.17483961840016,Studiekompetanse - scenario1
2031,8.17483961840016,Studiekompetanse - scenario3
2032,8.07475509533367,Studiekompetanse - scenario3
2013,8,UH_lang - historisk
2028,7.97467057226718,Studiekompetanse - scenario1
2033,7.97467057226718,Studiekompetanse - scenario3
2034,7.87458604920069,Studiekompetanse - scenario3
2026,7.7745015261342,Studiekompetanse - scenario2
2029,7.7745015261342,Studiekompetanse - scenario1
2035,7.7745015261342,Studiekompetanse - scenario3
2012,7.7,UH_lang - historisk
2030,7.57433248000122,Studiekompetanse - scenario1
2027,7.37416343386824,Studiekompetanse - scenario2
2031,7.37416343386824,Studiekompetanse - scenario1
2011,7.2,UH_lang - historisk
2032,7.17399438773526,Studiekompetanse - scenario1
2028,6.97382534160228,Studiekompetanse - scenario2
2033,6.97382534160228,Studiekompetanse - scenario1
2010,6.8,UH_lang - historisk
2034,6.7736562954693,Studiekompetanse - scenario1
2029,6.57348724933632,Studiekompetanse - scenario2
2035,6.57348724933632,Studiekompetanse - scenario1
2009,6.4,UH_lang - historisk
2035,6.22043882304109,Fagskolenivå - scenario2
2030,6.17314915707036,Studiekompetanse - scenario2
2008,6.1,UH_lang - historisk
2034,6.01643568694369,Fagskolenivå - scenario2
2033,5.81243255084628,Fagskolenivå - scenario2
2007,5.8,UH_lang - historisk
2031,5.77281106480439,Studiekompetanse - scenario2
2032,5.60842941474888,Fagskolenivå - scenario2
2031,5.40442627865148,Fagskolenivå - scenario2
2006,5.4,UH_lang - historisk
2032,5.37247297253843,Studiekompetanse - scenario2
2030,5.20042314255407,Fagskolenivå - scenario2
2005,5.2,UH_lang - historisk
2029,4.99642000645667,Fagskolenivå - scenario2
2035,4.99642000645667,Fagskolenivå - scenario1
2033,4.97213488027247,Studiekompetanse - scenario2
2004,4.9,UH_lang - historisk
2034,4.89441843840797,Fagskolenivå - scenario1
2028,4.79241687035927,Fagskolenivå - scenario2
2033,4.79241687035927,Fagskolenivå - scenario1
2032,4.69041530231056,Fagskolenivå - scenario1
2003,4.6,UH_lang - historisk
2027,4.58841373426186,Fagskolenivå - scenario2
2031,4.58841373426186,Fagskolenivå - scenario1
2034,4.57179678800651,Studiekompetanse - scenario2
2030,4.48641216621316,Fagskolenivå - scenario1
2002,4.4,UH_lang - historisk
2026,4.38441059816446,Fagskolenivå - scenario2
2029,4.38441059816446,Fagskolenivå - scenario1
2035,4.38441059816446,Fagskolenivå - scenario3
2034,4.33340981414011,Fagskolenivå - scenario3
2001,4.3,UH_lang - historisk
2028,4.28240903011576,Fagskolenivå - scenario1
